AAname;have;type;date;place;color;price;currency;
Maralen of the Mornsong;already;C;20211203;Ronin;black;$25.00;proposed;
Marchesa, the Black Rose;already;C;20180509;CardKingdom;multicolored;$0.49;proposed;
Marsh Flats;already;L;20161110;Starcitygames;colorless;$29.99;proposed;
Martial Coup;already;S;20150422;PUCATrade;white;$0.90;proposed;
Martyr's Bond;already;E;20160502;PUCATrade;white;$5.46;proposed;
Masked Admirers;already;C;20150323;GeorgeTrade;green;$0.26;USD_mtggf;
Maskwood Nexus;already;A;20220105;Ronin;colorless;$7.00;proposed;
Massacre Wurm;already;C;20170406;Endgames;black;$8.49;USD_mtggf;
Master of Waves;already;C;20140429;ChannelFireball;blue;$12.58;proposed
Master of Waves;already;C;20140429;ChannelFireball;blue;$6.99;proposed
Meishin, the Mind Cage;already;E;20170126;ChannelFireball;blue;$1.99;proposed;
Melira, Sylvok Outcast;already;C;20151021;PUCATrade;green;$4.10;proposed;
Meloku the Clouded Mirror;already;C;20150302;PUCATrade;blue;$0.60;proposed;
Memory Crystal;already;A;20170711;CardKingdom;colorless;$0.28;proposed;
Memory Lapse;already;I;20150115;ChannelFireball;blue;$0.15;proposed;
Mental Misstep;already;I;20151028;PUCATrade;blue;$0.76;proposed;
Mentor of the Meek;already;C;20150323;GeorgeTrade;white;$0.65;USD_mtgf;
Merchant Scroll;already;S;20141203;ChannelFireball;blue;$1.34;proposed;
Meren of Clan Nel Toth;already;C;20160427;Endgames;multicolored;$7.82;USD_mtgf;
Mesmeric Orb;already;A;20211203;Ronin;colorless;$13.00;proposed;
Mikaeus, the Lunarch;already;C;20140429;ChannelFireball;white;$5.38;proposed
Mikaeus, the Unhallowed;already;C;20141203;ChannelFireball;black;$9.99;proposed;
Mind Stone;already;A;20150427;PUCATrade;colorless;$0.54;proposed;
Mindslicer;already;C;20211203;Ronin;black;$15.00;proposed;
Mirari's Wake;already;E;20160427;Endgames;multicolored;$7.27;USD_mtgf;
Mirran Crusader;already;C;20160427;Endgames;white;$1.49;USD_mtggf;
Mirror Box;already;A;20220901;Ronin;colorless;$2.00;proposed;
Mogg War Marshal;already;C;20150410;PUCATrade;red;$0.42;proposed;
Morphic Pool;want;L; ; ;colorless;$0.00;proposed;
Mortician Beetle;already;C;20131010;ChannelFireball;black;$1.32;proposed;
Mortify;already;I;20131010;ChannelFireball;multicolored;$1.58;proposed;
Muldrotha, the Gravetide;already;C;20230328;Endgames;multicolored;$6.99;proposed;
Mulldrifter;already;C;20150115;ChannelFireball;blue;$0.25;proposed;
Mutavault;already;L;20190211;GeorgeTrade;colorless;$13.08;USD_mtggf;
Mycosynth Lattice;already;A;20160415;PUCATrade;colorless;$22.37;proposed;
Myr Battlesphere;already;A;20150330;PUCATrade;colorless;$0.43;proposed;
Mystic Confluence;already;I;20170711;CardKingdom;blue;$9.99;proposed;
Mystic Remora;already;E;20170711;CardKingdom;blue;$7.16;proposed;
Mystic Sanctuary;already;L;20221002;Ronin;colorless;$2.50;proposed;
Mystic Snake;already;C;20170406;Endgames;multicolored;$1.19;USD_mtgf;
Mystical Teachings;already;I;20150323;GeorgeTrade;blue;$0.25;USD_mtgf;
Mystical Tutor;already;I;20151019;PUCATrade;blue;$7.21;proposed;
Nahiri, the Harbinger;already;P;20190211;GeorgeTrade;multicolored;$6.20;USD_mtgf;
Nantuko Shade;already;C;20140429;ChannelFireball;black;$3.96;proposed
Nature's Revolt;already;E;20170126;ChannelFireball;green;$0.39;proposed;
Nearheath Pilgrim;already;C;20150323;GeorgeTrade;white;$0.19;USD_mtggf;
Necromancy;already;E;20200422;ScottMunroTrade;black;$13.99;proposed;
Necropotence;already;E;20230328;Endgames;black;$41.24;proposed;
Nether Traitor;already;C;20140429;ChannelFireball;black;$14.36;proposed
Neurok Stealthsuit;already;A;20160123;ChannelFireball;colorless;$0.25;proposed;
Nevermaker;already;C;20150721;PUCATrade;blue;$0.30;proposed;
Nevinyrral's Disk;already;A;20221002;Ronin;colorless;$0.50;proposed;
Nightveil Specter;already;C;20140429;ChannelFireball;multicoloured;$12.58;proposed
Nin, the Pain Artist;already;C;20160123;ChannelFireball;multicolored;$5.99;proposed;
Nissa Revane;already;P;20140429;ChannelFireball;green;$19.98;proposed
Nissa, Voice of Zendikar;already;P;20160123;ChannelFireball;green;$24.99;proposed;
Nissa, Worldwaker;already;P;20160123;ChannelFireball;green;$7.99;proposed;
Niv-Mizzet Reborn;already;C;20211228;PlentyofGames;multicolored;$3.80;proposed;
Noetic Scales;already;A;20220901;Ronin;colorless;$6.10;proposed;
Notion Thief;already;C;20170406;Endgames;multicolored;$0.75;USD_mtgf;
Nullmage Shepherd;already;C;20150323;GeorgeTrade;green;$0.29;USD_mtgf;
Nyxbloom Ancient;already;E;20211006;CardKingdom;green;$19.99;proposed;
Oath of Druids;already;E;20170608;CardKingdom;green;$1.29;proposed;
Ob Nixilis, the Fallen;want;C; ; ;black;$0.00;proposed;
Oblivion Stone;already;A;20170406;Endgames;colorless;$21.02;USD_mtgf;
Ojutai, Soul of Winter;already;C;20150305;PUCATrade;multicolored;$0.43;proposed;
Old Gnawbone;already;C;20230328;Endgames;green;$24.99;proposed;
Oloro, Ageless Ascetic;already;C;20150302;PUCATrade;multicolored;$1.55;proposed;
Omen Machine;already;A;20190719;WhiteHorse;colorless;$0.74;USD_mtggf;
Omniscience;want;E; ; ;blue;$0.00;proposed;
Oona's Prowler;already;C;20150420;PUCATrade;black;$2.45;proposed;
Oona, Queen of the Fae;already;C;20160427;Endgames;multicolored;$2.83;USD_mtgf;
Opalescence;already;E;20160825;GeorgeTrade;white;$6.00;proposed;
Open the Vaults;already;S;20160123;ChannelFireball;white;$2.49;proposed;
Open the Way;want;S; ; ;green;$0.00;proposed;
Ophiomancer;already;C;20160123;ChannelFireball;black;$1.34;proposed;
Opposition Agent;already;C;20211201;Ronin;black;$20.00;proposed;
Oran-Rief, the Vastwood;already;L;20141203;ChannelFireball;colorless;$0.49;proposed;
Orzhov Basilica;already;L;20150908;PUCATrade;colorless;$0.29;proposed;
Orzhov Signet;already;A;20150115;ChannelFireball;colorless;$0.49;proposed;
Otherworld Atlas;already;A;20151022;PUCATrade;colorless;$0.33;proposed;
Otherworldly Journey;already;I;20150115;ChannelFireball;white;$0.25;proposed;
Oust;already;S;20160330;PUCATrade;white;$0.20;proposed;
Overgrown Estate;already;E;20190719;WhiteHorse;multicolored;$0.39;USD_mtggf;
Overgrown Farmland;want;L; ; ;colorless;$0.00;proposed;
Ovinomancer;already;C;20190719;WhiteHorse;blue;$0.25;USD_mtggf;
Pack Rat;already;C;20150302;PUCATrade;black;$1.69;proposed;
Painter's Servant;want;C; ; ;colorless;$0.00;proposed;
Pale Moon;already;I;20220901;Ronin;blue;$0.51;proposed;
Palinchron;already;C;20170711;CardKingdom;blue;$16.79;proposed;
Paradise Mantle;already;A;20150601;PUCATrade;colorless;$1.32;proposed;
Paradox Engine;already;A;20170126;ChannelFireball;colorless;$5.99;proposed;
Parallax Wave;already;E;20150115;ChannelFireball;white;$1.99;proposed;
Parallel Lives;already;E;20141203;ChannelFireball;green;$3.49;proposed;
Pattern of Rebirth;already;E;20151119;PUCATrade;green;$3.12;proposed;
Peregrine Drake;already;C;20151216;PUCATrade;blue;$0.78;proposed;
Pestermite;already;C;20150115;ChannelFireball;blue;$0.49;proposed;
Phantasmal Image;already;C;20160427;Endgames;blue;$8.08;USD_mtgf;
Phelddagrif;already;C;20170608;CardKingdom;multicolored;$2.44;proposed;
Phyrexian Arena;already;E;20170406;Endgames;black;$5.10;USD_mtgf;
Phyrexian Censor;already;C;20230422;Pack;white;$1.00;proposed;
Phyrexian Reclamation;already;E;20160123;ChannelFireball;black;$0.44;proposed;
Phyrexian Revoker;already;A;20190211;GeorgeTrade;colorless;$1.38;USD_mtggf;
Phyrexian Tower;want;L; ; ;colorless;$0.00;proposed;
Plaguebearer;already;C;20150323;GeorgeTrade;black;$0.85;USD_mtggf;
Planar Bridge;already;A;20170126;ChannelFireball;colorless;$2.99;proposed;
Planar Portal;already;A;20160123;ChannelFireball;colorless;$2.49;proposed;
Plargg and Nassari;already;c;20230624;Pack;red;1.00
Plea for Power;already;S;20170711;CardKingdom;blue;$0.99;proposed;
Pollen Lullaby;already;I;20140429;ChannelFireball;white;$1.96;proposed
Pongify;already;I;20170711;CardKingdom;blue;$2.29;proposed;
Portcullis;already;A;20170126;ChannelFireball;colorless;$0.39;proposed;
Portent;already;S;20150115;ChannelFireball;blue;$0.25;proposed;
Powerleech;already;E;20230410;CardKingdom;green;$19.49;proposed;
Precursor Golem;already;A;20150410;PUCATrade;colorless;$0.30;proposed;
Preordain;already;S;20150115;ChannelFireball;blue;$1.99;proposed;
Primal Command;already;S;20151209;PUCATrade;green;$2.40;proposed;
Primal Order;already;E;20220901;Ronin;green;$1.92;proposed;
Primeval Titan;already;C;20160123;ChannelFireball;green;$7.99;proposed;
Privileged Position;already;E;20161110;Starcitygames;multicolored;$11.25;proposed;
Profane Command;already;S;20131010;ChannelFireball;black;$5.36;proposed;
Propaganda;already;E;20230410;CardKingdom;blue;$5.59;proposed;
Prophetic Bolt;already;I;20150115;ChannelFireball;multicolored;$0.23;proposed;
Prosperity;already;S;20150115;ChannelFireball;blue;$0.71;proposed;
Prowess of the Fair;already;E;20141203;ChannelFireball;black;$0.10;proposed;
Psychatog;already;C;20150115;ChannelFireball;multicolored;$0.79;proposed;
Psychic Intrusion;already;S;20131013;ChannelFireball;multicolored;$0.75;proposed;
Putrid Imp;already;C;20151102;PUCATrade;black;$0.40;proposed;
Pyromancer's Goggles;already;A;20151209;PUCATrade;colorless;$2.25;proposed;
Qasali Pridemage;already;C;20151021;PUCATrade;multicolored;$2.39;proposed;
Quicken;already;I;20140429;ChannelFireball;blue;$3.96;proposed
Quicksilver Amulet;already;A;20141203;ChannelFireball;colorless;$5.99;proposed;
Rakdos Cackler;already;C;20150115;ChannelFireball;multicolored;$0.25;proposed;
Rakdos Charm;already;I;20150407;PUCATrade;multicolored;$0.26;proposed;
Rakdos Signet;already;A;20150115;ChannelFireball;colorless;$0.49;proposed;
Ramunap Excavator;already;C;20170711;CardKingdom;green;$6.99;proposed;
Rashmi, Eternities Crafter;already;C;20170406;Endgames;multicolored;$1.34;USD_mtgf;
Ratchet Bomb;already;A;20131010;ChannelFireball;colorless;$5.96;proposed;
Raven's Crime;already;S;20160701;PUCATrade;black;$1.01;proposed;
Reach Through Mists;already;I;20150115;ChannelFireball;blue;$0.10;proposed;
Reality Acid;already;E;20150422;PUCATrade;blue;$0.23;proposed;
Reality Twist;already;E;20230328;Endgames;blue;$3.79;proposed;
Reanimate;already;S;20151027;PUCATrade;black;$6.85;proposed;
Reaper King;already;A;20211006;CardKingdom;multicolored;$3.84;proposed;
Reassembling Skeleton;already;C;20131010;ChannelFireball;black;$0.40;proposed;
Rebuild the City;want;S; ; ;multicolored;$0.00;proposed;
Reckless Handling;already;S;20230601;Pack;red;$0.20;proposed
Reconnaissance;already;E;20160427;Endgames;white;$2.04;USD_mtggf;
Recurring Nightmare;already;E;20230414;Ronin;black;$7.00;proposed;
Redeem;already;I;20140429;ChannelFireball;white;$0.40;proposed
Reflecting Pool;already;L;20170608;CardKingdom;colorless;$9.59;proposed;
Rejuvenating Springs;already;L;20230410;CardKingdom;colorless;$12.99;proposed;
Repeal;already;I;20150115;ChannelFireball;blue;$0.23;proposed;
Replenish;already;S;20161110;Starcitygames;white;$14.99;proposed;
Reshape the Earth;already;S;20230201;Ronin;green;$8.50;proposed;
Restoration Angel;already;C;20160122;PUCATrade;white;$10.13;proposed;
Retether;already;S;20160309;PUCATrade;white;$1.70;proposed;
Retrofitter Foundry;already;A;20230410;CardKingdom;colorless;$18.69;proposed;
Reveillark;already;C;20150115;ChannelFireball;white;$3.99;proposed;
Rewind;already;I;20131013;ChannelFireball;blue;$1.96;proposed;
Rhystic Study;already;E;20160701;PUCATrade;blue;$4.53;proposed;
Ring of Three Wishes;already;A;20160123;ChannelFireball;colorless;$2.99;proposed;
Rings of Brighthearth;already;A;20190704;Starcitygames;colorless;$51.29;proposed;
Risen Reef;already;C;20220901;Ronin;multicolored;$2.29;proposed;
Rishadan Brigand;already;C;20170608;CardKingdom;blue;$0.74;proposed;
Rishadan Cutpurse;already;C;20170608;CardKingdom;blue;$0.17;proposed;
Rishadan Footpad;already;C;20170608;CardKingdom;blue;$0.20;proposed;
Rite of Replication;already;S;20170711;CardKingdom;blue;$2.79;proposed;
Rockfall Vale;already;L;20230410;CardKingdom;colorless;$1.99;proposed;
Roon of the Hidden Realm;already;C;20150414;PUCATrade;multicolored;$0.98;proposed;
Root Maze;already;E;20230410;CardKingdom;green;$5.24;proposed;
Rootbound Crag;already;L;20160427;Endgames;colorless;$1.84;USD_mtgf;
Rootpath Purifier;already;C;20230328;Endgames;green;$10.99;proposed;
Roots of Life;already;E;20230328;Endgames;green;$0.24;proposed;
Rune-Scarred Demon;already;C;20150323;GeorgeTrade;black;$5.68;USD_mtggf;
Sadistic Hypnotist;already;C;20150323;GeorgeTrade;black;$0.40;USD_mtggf;
Sapphire Medallion;want;A; ; ;colorless;$0.00;proposed;
Savage Summoning;already;I;20140429;ChannelFireball;green;$0.49;proposed
Savage Summoning;already;I;20140429;ChannelFireball;green;$1.32;proposed
Savannah;already;L;20210216;GeorgeTrade;colorless;$373.16;proposed;
Savor the Moment;already;S;20200422;ScottMunroTrade;blue;$7.99;proposed;
Scepter of Empires;already;A;20230328;Endgames;colorless;$0.24;proposed;
Scrap Mastery;already;S;20180509;CardKingdom;red;$1.99;proposed;
Scrivener;already;C;20150613;PUCATrade;blue;$0.19;proposed;
Scrubland;already;L;20210216;GeorgeTrade;colorless;$367.73;proposed;
Sea Gate Oracle;already;C;20150422;PUCATrade;blue;$0.15;proposed;
Sea of Clouds;already;L;20230410;CardKingdom;colorless;$4.79;proposed;
Searing Spear;already;I;20150330;PUCATrade;red;$0.37;proposed;
Seat of the Synod;already;L;20180509;CardKingdom;colorless;$1.49;proposed;
Second Sunrise;already;I;20161110;Starcitygames;white;$1.05;proposed;
Secure the Wastes;already;I;20160128;PUCATrade;white;$4.45;proposed;
See Beyond;already;S;20150115;ChannelFireball;blue;$0.25;proposed;
See Double;already;i;20230618;Ronin;blue;2.50
Selesnya Signet;already;A;20150115;ChannelFireball;colorless;$0.15;proposed;
Sensei's Divining Top;already;A;20150706;PUCATrade;colorless;$32.24;proposed;
Serra's Sanctum;already;L;20170608;CardKingdom;colorless;$57.79;proposed;
Shark Typhoon;already;E;20220901;Ronin;blue;$12.88;proposed;
Shelldock Isle;already;L;20151029;PUCATrade;colorless;$1.22;proposed;
Shifting Sky;already;E;20170126;ChannelFireball;blue;$0.32;proposed;
Shipwreck Marsh;want;L; ; ;colorless;$0.00;proposed;
Shock;already;I;20140429;ChannelFireball;red;$0.25;proposed
Shorikai, Genesis Engine;already;C;20230218;Ronin;multicolored;$2.50;proposed;
Shrieking Drake;already;C;20170126;ChannelFireball;blue;$1.00;proposed;
Shrine of Burning Rage;already;A;20150115;ChannelFireball;colorless;$0.44;proposed;
Sidisi, Undead Vizier;already;C;20150609;PUCATrade;black;$2.19;proposed;
Siege-Gang Commander;already;C;20150506;PUCATrade;red;$1.83;proposed;
Sigil of the New Dawn;already;E;20151019;PUCATrade;white;$0.35;proposed;
Silumgar, the Drifting Death;already;C;20150219;PUCATrade;multicolored;$1.18;proposed;
Silverglade Pathfinder;want;G; ; ;green;$0.00;proposed;
Simic Signet;already;A;20150115;ChannelFireball;colorless;$0.25;proposed;
Skinrender;already;C;20150407;PUCATrade;black;$0.20;proposed;
Skirk Fire Marshal;already;C;20150613;PUCATrade;red;$0.84;proposed;
Skullclamp;already;A;20150724;PUCATrade;colorless;$2.01;proposed;
Sleight of Hand;already;S;20150115;ChannelFireball;blue;$2.69;proposed;
Snap;already;I;20141203;ChannelFireball;blue;$0.89;proposed;
Solemn Simulacrum;already;A;20160309;PUCATrade;colorless;$4.08;proposed;
Solemnity;already;E;20170711;CardKingdom;white;$6.49;proposed;
Song of the Dryads;already;E;20190704;Starcitygames;green;$10.25;proposed;
Soothsaying;already;E;20150601;PUCATrade;blue;$0.91;proposed;
Spectator Seating;want;L; ; ;colorless;$0.00;proposed;
Spectral Procession;already;S;20150115;ChannelFireball;white;$0.25;proposed;
Spell Snare;already;I;20150115;ChannelFireball;blue;$3.99;proposed;
Spell Syphon;already;I;20131013;ChannelFireball;blue;$0.10;proposed;
Sphere of Safety;already;E;20170406;Endgames;white;$0.78;USD_mtggf;
Sphere of the Suns;already;A;20150115;ChannelFireball;colorless;$0.25;proposed;
Sphinx of the Steel Wind;already;A;20151021;PUCATrade;multicolored;$1.01;proposed;
Sphinx's Revelation;already;I;20150508;PUCATrade;multicolored;$7.72;proposed;
Spike Feeder;already;C;20150613;PUCATrade;green;$0.47;proposed;
Spine of Ish Sah;already;A;20151130;PUCATrade;colorless;$0.37;proposed;
Splinter Twin;already;E;20150115;ChannelFireball;red;$15.99;proposed;
Spore Frog;already;C;20170406;Endgames;green;$1.49;USD_mtggf;
Spreading Plague;already;E;20211006;CardKingdom;black;$4.49;proposed;
Squee, Goblin Nabob;already;C;20150115;ChannelFireball;red;$1.49;proposed;
Staff of Nin;already;A;20170406;Endgames;colorless;$0.99;USD_mtggf;
Staggershock;already;I;20150115;ChannelFireball;red;$0.25;proposed;
Steel Golem;already;A;20170711;CardKingdom;colorless;$0.39;proposed;
Steel of the Godhead;already;E;20170126;ChannelFireball;multicolored;$1.99;proposed;
Stifle;already;I;20170406;Endgames;blue;$5.25;USD_mtggf;
Stimulus Package;already;E;20230328;Endgames;multicolored;$0.25;proposed;
Stomping Ground;already;L;20160427;Endgames;colorless;$12.20;USD_mtggf;
Stonehorn Dignitary;already;C;20150331;PUCATrade;white;$0.21;proposed;
Storage Matrix;already;A;20230410;CardKingdom;colorless;$2.50;proposed;
Storm Cauldron;already;A;20170126;ChannelFireball;colorless;$0.79;proposed;
Storm Crow;already;C;20150422;PUCATrade;blue;$0.22;proposed;
Stormbreath Dragon;already;C;20150728;PUCATrade;red;$5.28;proposed;
Stormchaser Mage;already;C;20160427;Endgames;multicolored;$1.04;USD_mtggf;
Stranglehold;already;E;20230313;Ronin;red;$15.00;proposed;
Stroke of Genius;already;I;20150115;ChannelFireball;blue;$0.79;proposed;
Sulfuric Vortex;already;E;20150115;ChannelFireball;red;$0.99;proposed;
Summoning Station;already;A;20161110;Starcitygames;colorless;$0.55;proposed;
Sunbird's Invocation;already;E;20180509;CardKingdom;red;$1.79;proposed;
Sundering Titan;already;A;20150407;PUCATrade;colorless;$5.01;USD_mtggf;
Sundial of the Infinite;already;A;20150427;PUCATrade;colorless;$0.48;proposed;
Sunpetal Grove;already;L;20160427;Endgames;colorless;$2.40;USD_mtggf;
Supreme Verdict;already;S;20150115;ChannelFireball;multicolored;$2.99;proposed;
Surge of Zeal;already;I;20150115;ChannelFireball;red;$0.10;proposed;
Surrakar Spellblade;already;C;20141203;ChannelFireball;blue;$0.25;proposed;
Sword of Body and Mind;already;A;20190211;GeorgeTrade;colorless;$11.99;USD_mtggf;
Sword of Fire and Ice;already;A;20200422;ScottMunroTrade;colorless;$59.99;proposed;
Sword of War and Peace;already;A;20150721;PUCATrade;colorless;$19.24;proposed;
Swords to Plowshares;already;I;20150115;ChannelFireball;white;$2.69;proposed;
Sylvan Scrying;already;S;20141203;ChannelFireball;green;$2.99;proposed;
Syncopate;already;I;20131013;ChannelFireball;blue;$1.96;proposed;
Synod Sanctum;already;A;20160701;PUCATrade;colorless;$0.21;proposed;
Talrand, Sky Summoner;already;C;20150331;PUCATrade;blue;$1.22;proposed;
Tamiyo, the Moon Sage;already;P;20160427;Endgames;blue;$19.13;USD_mtgf;
Tangle Wire;already;A;20150115;ChannelFireball;colorless;$2.69;proposed;
Tasigur, the Golden Fang;already;C;20151116;PUCATrade;black;$4.50;proposed;
Tazri, Stalwart Survivor;already;C;20230601;Pack;white;$0.30;proposed
Teferi's Care;already;E;20211006;CardKingdom;white;$0.40;proposed;
Teferi's Moat;already;E;20170126;ChannelFireball;multicolored;$0.49;proposed;
Teferi's Puzzle Box;already;A;20150115;ChannelFireball;colorless;$2.49;proposed;
Teferi, Mage of Zhalfir;already;C;20141204;ChannelFireball;blue;$13.99;proposed;
Teferi, Temporal Archmage;already;P;20170406;Endgames;blue;$15.22;USD_mtgf;
Telepathy;already;E;20170126;ChannelFireball;blue;$0.32;proposed;
Temple Bell;already;A;20170711;CardKingdom;colorless;$0.59;proposed;
Tempt with Discovery;already;S;20170608;CardKingdom;green;$2.39;proposed;
Tendrils of Agony;already;S;20150115;ChannelFireball;black;$0.99;proposed;
Terastodon;already;C;20160427;Endgames;green;$0.52;USD_mtggf;
Tergrid, God of Fright;already;C;20210305;Akikambara;black;$10.00;proposed;
Terminate;already;I;20150323;GeorgeTrade;multicolored;$0.99;USD_mtggf;
Terror of the Peaks;already;C;20230328;Endgames;red;$39.99;proposed;
Tezzeret the Seeker;already;P;20151202;PUCATrade;blue;$9.05;proposed;
Thada Adel, Acquisitor;already;C;20170406;Endgames;blue;$1.41;USD_mtgf;
Thassa, Deep-Dwelling;already;E;20220105;Ronin;blue;$17.00;proposed;
Thassa, God of the Sea;already;C;20140701;TradeGamesCapital;blue;$7.98;USD_mtgf;
The First Sliver;already;C;20200422;ScottMunroTrade;multicolored;$7.99;proposed;
The Hive;already;A;20190719;WhiteHorse;colorless;$0.40;USD_mtggf;
The Locust God;already;C;20170711;CardKingdom;multicolored;$8.99;proposed;
The World Tree;already;L;20220901;Ronin;colorless;$5.10;proposed;
Thespian's Stage;already;L;20151216;PUCATrade;colorless;$2.10;proposed;
Thief of Blood;already;C;20160123;ChannelFireball;black;$0.49;proposed;
Thieving Magpie;already;C;20150422;PUCATrade;blue;$0.23;proposed;
Thirst for Knowledge;already;I;20150115;ChannelFireball;blue;$1.79;proposed;
Thought Prison;already;A;20190704;Starcitygames;colorless;$0.25;proposed;
Thought Scour;already;I;20150115;ChannelFireball;blue;$0.79;proposed;
Thought-Knot Seer;already;C;20170406;Endgames;colorless;$6.74;USD_mtggf;
Thousand-Year Storm;already;E;20211006;CardKingdom;multicolored;$12.99;proposed;
Thran Dynamo;already;A;20150115;ChannelFireball;colorless;$4.99;proposed;
Thrasios, Triton Hero;want;C; ; ;multicolored;$0.00;proposed;
Throne of Empires;already;A;20220901;Ronin;colorless;$0.47;proposed;
Throne of the God-Pharaoh;already;A;20170608;CardKingdom;colorless;$0.49;proposed;
Thundermaw Hellkite;already;C;20160427;Endgames;red;$8.81;USD_mtggf;
Tidehollow Sculler;already;A;20150115;ChannelFireball;multicolored;$0.25;proposed;
Tireless Tracker;already;C;20211228;PlentyofGames;green;$8.70;proposed;
Tolarian Academy;already;L;20170406;Endgames;colorless;$32.00;proposed;
Tooth and Nail;already;S;20200422;ScottMunroTrade;green;$17.99;proposed;
Torbran, Thane of Red Fell;already;C;20200422;ScottMunroTrade;red;$5.00;proposed;
Tormod's Crypt;already;A;20221002;Ronin;colorless;$1.00;proposed;
Torpor Orb;already;A;20161110;Starcitygames;colorless;$1.39;proposed;
Tradewind Rider;already;C;20150609;PUCATrade;blue;$1.97;proposed;
Tragic Slip;already;I;20150115;ChannelFireball;black;$0.25;proposed;
Training Center;want;L; ; ;colorless;$0.00;proposed;
Training Grounds;already;E;20140429;ChannelFireball;blue;$5.98;proposed
Tranquil Grove;already;E;20230410;CardKingdom;green;$0.90;proposed;
Treachery;already;E;20141203;ChannelFireball;blue;$8.99;proposed;
Treasure Nabber;already;C;20190704;Starcitygames;red;$4.85;proposed;
Treasure Vault;already;L;20220901;Ronin;colorless;$5.69;proposed;
Trickster Mage;already;C;20160123;ChannelFireball;blue;$0.15;proposed;
Trinket Mage;already;C;20150115;ChannelFireball;blue;$0.49;proposed;
Trygon Predator;already;C;20150427;PUCATrade;multicolored;$0.70;proposed;
Turnabout;already;I;20190320;GeorgeTrade;blue;$4.00;proposed;
Twinning Staff;already;A;20220901;Ronin;colorless;$2.04;proposed;
Ulvenwald Tracker;already;C;20141203;ChannelFireball;green;$0.49;proposed;
Unburial Rites;already;S;20150115;ChannelFireball;black;$0.49;proposed;
Uncage the Menagerie;already;S;20170711;CardKingdom;green;$3.49;proposed;
Undying Evil;already;I;20140429;ChannelFireball;black;$0.40;proposed
Unexpectedly Absent;already;I;20160427;Endgames;white;$1.18;USD_mtgf;
Unhallowed Pact;already;E;20131010;ChannelFireball;black;$0.30;proposed;
Upheaval;already;S;20150115;ChannelFireball;blue;$1.99;proposed;
Valakut Awakening;already;I;20220901;Ronin;red;$6.58;proposed;
Valorous Stance;already;I;20151119;PUCATrade;white;$1.90;proposed;
Vampire Hexmage;already;C;20131010;ChannelFireball;black;$1.00;proposed;
Vampire Nighthawk;already;C;20150115;ChannelFireball;black;$0.99;proposed;
Vapor Snag;already;I;20150115;ChannelFireball;blue;$1.49;proposed;
Vastwood Hydra;already;C;20131013;ChannelFireball;green;$1.96;proposed;
Vault of Champions;want;L; ; ;colorless;$0.00;proposed;
Vedalken Orrery;already;A;20151130;PUCATrade;colorless;$2.86;proposed;
Vendilion Clique;already;C;20160123;ChannelFireball;blue;$39.99;proposed;
Venser, Shaper Savant;already;C;20170126;ChannelFireball;blue;$17.99;proposed;
Venser, the Sojourner;already;P;20150115;ChannelFireball;multicolored;$5.99;proposed;
Verdant Catacombs;already;L;20170406;Endgames;colorless;$45.00;actual;
Viashino Heretic;already;C;20150323;GeorgeTrade;red;$0.45;USD_mtggf;
Viridian Revel;want;E; ; ;green;$0.00;proposed;
Viscera Seer;already;C;20161110;Starcitygames;black;$1.25;proposed;
Vito, Thorn of the Dusk Rose;already;C;20230319;Ronin;black;$5.00;proposed;
Voice of Resurgence;already;C;20190320;GeorgeTrade;multicolored;$8.00;proposed;
Void Mirror;already;A;20220901;Ronin;colorless;$0.54;proposed;
Voltaic Key;already;A;20151022;PUCATrade;colorless;$0.70;proposed;
Vorinclex, Voice of Hunger;already;C;20190211;GeorgeTrade;green;$14.99;USD_mtgf;
Vraska's Contempt;already;I;20190328;MattDeCureTrade;black;$10.00;proposed;
Walking Archive;already;A;20170711;CardKingdom;colorless;$1.43;proposed;
Walking Atlas;already;A;20170711;CardKingdom;colorless;$0.25;proposed;
Wall of Blossoms;already;C;20160427;Endgames;green;$0.05;USD_mtggf;
Wall of Omens;already;C;20150422;PUCATrade;white;$1.60;proposed;
War Room;already;L;20220901;Ronin;colorless;$8.90;proposed;
War Tax;already;E;20230328;Endgames;blue;$0.71;proposed;
Ward of Bones;already;A;20170711;CardKingdom;colorless;$4.79;proposed;
Warp World;already;S;20211228;PlentyofGames;red;$1.10;proposed;
Waterfront Bouncer;already;C;20150427;PUCATrade;blue;$0.23;proposed;
Wave of Reckoning;already;S;20170126;ChannelFireball;white;$0.35;proposed;
Well of Lost Dreams;already;A;20170711;CardKingdom;colorless;$2.79;proposed;
Whelming Wave;already;S;20140429;ChannelFireball;blue;$1.76;proposed
Whip of Erebos;already;E;20131010;ChannelFireball;black;$8.97;proposed;
Whisperwood Elemental;already;C;20151027;PUCATrade;green;$4.23;proposed;
Wildfire;already;S;20170406;Endgames;red;$0.40;USD_mtggf;
Windbrisk Heights;already;L;20150115;ChannelFireball;colorless;$0.79;proposed;
Windfall;already;S;20150115;ChannelFireball;blue;$1.25;proposed;
Winter Orb;already;A;20150323;GeorgeTrade;colorless;$3.07;USD_mtgf;
Wispmare;already;C;20150422;PUCATrade;white;$0.16;proposed;
Wolfir Silverheart;already;C;20150427;PUCATrade;green;$0.67;proposed;
Wood Elves;already;C;20160317;PUCATrade;green;$0.25;proposed;
Woodfall Primus;already;C;20170711;CardKingdom;green;$7.99;proposed;
